序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300719,安达维尔,20.89,19.99,3.48,574278,1145826206.24,20.05,20.89,17.4,17.58,17.41,31.97,7023.63,5.12,通用航空
2,600893,航发动力,57.17,10.01,5.2,1004186,5530400585.0,10.53,57.17,51.7,51.88,51.97,3.77,1058.65,3.83,通用航空
3,002510,天汽模,8.5,9.96,0.77,1356499,1119917853.46,11.64,8.5,7.6,7.61,7.73,13.5,124.31,3.45,通用航空
4,000738,航发控制,29.45,7.44,2.04,1090928,3170201726.42,10.4,30.15,27.3,27.42,27.41,8.29,72.45,3.09,通用航空
5,688510,航亚科技,44.28,7.19,2.97,180752,770092792.0,10.05,44.35,40.2,41.21,41.31,6.96,110.68,9.6,通用航空
6,002297,博云新材,13.16,4.44,0.56,780890,1018603218.45,5.95,13.28,12.53,12.65,12.6,13.63,188.32,3.58,通用航空
7,600862,中航高科,26.92,2.83,0.74,539583,1443842166.0,3.9,27.26,26.24,26.3,26.18,3.87,34.88,5.03,通用航空
8,300397,天和防务,14.55,1.11,0.16,225974,329760952.34,3.54,14.79,14.28,14.35,14.39,5.57,-68.14,5.23,通用航空
9,000768,中航西飞,30.38,1.06,0.32,584095,1772686158.82,3.06,30.77,29.85,29.92,30.06,2.11,63.86,3.87,通用航空
10,600038,中直股份,37.97,1.04,0.39,115722,439355846.0,2.55,38.37,37.41,37.44,37.58,1.73,62.64,1.8,通用航空
