序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,换手率,市盈率-动态,市净率,所属板块
1,300719,安达维尔,20.89,19.99,3.48,574278,1145826206.24,20.05,20.89,17.4,17.58,17.41,31.97,7023.63,5.12,航天航空
2,600893,航发动力,57.17,10.01,5.2,1004186,5530400585.0,10.53,57.17,51.7,51.88,51.97,3.77,1058.65,3.83,航天航空
3,688586,江航装备,16.55,8.31,1.27,342697,563329595.0,14.33,17.31,15.12,15.16,15.28,4.33,231.7,5.31,航天航空
4,688563,航材股份,76.3,7.92,5.6,135706,1037015714.0,11.8,78.88,70.54,70.54,70.7,11.6,64.36,3.29,航天航空
5,000738,航发控制,29.45,7.44,2.04,1090928,3170201726.42,10.4,30.15,27.3,27.42,27.41,8.29,72.45,3.09,航天航空
6,688510,航亚科技,44.28,7.19,2.97,180752,770092792.0,10.05,44.35,40.2,41.21,41.31,6.96,110.68,9.6,航天航空
7,300424,航新科技,19.4,6.59,1.2,278800,535564754.16,7.75,19.58,18.17,18.2,18.2,11.37,202.62,6.26,航天航空
8,688239,航宇科技,77.34,4.8,3.54,110660,850056120.0,9.72,79.89,72.72,72.9,73.8,5.8,75.8,7.49,航天航空
9,002297,博云新材,13.16,4.44,0.56,780890,1018603218.45,5.95,13.28,12.53,12.65,12.6,13.63,188.32,3.58,航天航空
10,002933,新兴装备,37.13,4.15,1.48,67742,249736183.89,5.44,37.39,35.45,35.65,35.65,5.94,112.23,2.85,航天航空
